objectid,lad17cd,lad17nm,lad17nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
275,E08000018,Rotherham, ,447542,388980,-1.28651,53.3955,0.0387212803573339,1.26971705284077
276,E08000019,Sheffield, ,430511,389736,-1.54254,53.4036,0.0497219674273896,1.60794307414402
277,E08000021,Newcastle upon Tyne, ,422287,569662,-1.65297,55.021,0.0159343791683655,0.817005914787598
278,E08000022,North Tyneside, ,431471,570602,-1.50923,55.029,0.0115654934970689,0.79933182590931
279,E08000023,South Tyneside, ,435503,564057,-1.44696,54.9699,0.009037896270771,0.622410978161639
280,E08000024,Sunderland, ,436470,551525,-1.43344,54.8572,0.0192367856767637,1.21737154185034
281,E08000025,Birmingham, ,408150,287352,-1.88141,52.484,0.0354418164770094,1.25558216263709
282,E08000026,Coventry, ,432807,279689,-1.51908,52.4142,0.0130328865933265,0.642745025354056
283,E08000027,Dudley, ,393191,288584,-2.10171,52.4951,0.0129619598602091,0.842471616103666
284,E08000028,Sandwell, ,399573,290764,-2.00771,52.5148,0.0113368012239065,0.701048992827143
285,E08000029,Solihull, ,419434,281483,-1.71558,52.431,0.0235576019539018,1.17572572976057
286,E08000030,Walsall, ,402098,300804,-1.97044,52.605,0.0137999462676023,0.704679469370115
287,E08000031,Wolverhampton, ,391463,300016,-2.12746,52.5979,0.00921206975999292,0.654478847483346
288,E08000032,Bradford, ,408395,438626,-1.87389,53.8438,0.0500387196486751,1.63555747638885
289,E08000033,Calderdale, ,402617,424896,-1.96182,53.7205,0.0495664101355668,1.31105402614836
290,E08000034,Kirklees, ,414586,416223,-1.78085,53.6423,0.0555036640987375,1.53578996866413
291,E08000035,Leeds, ,432528,436384,-1.50736,53.8227,0.0753227470852373,1.97360539542044
292,E08000036,Wakefield, ,438366,418235,-1.42092,53.6592,0.0460427320156937,1.33775555620965
293,E08000037,Gateshead, ,420168,559658,-1.6868,54.9312,0.019960627166316,1.11017371832897
294,E09000001,City of London, ,532382,181358,-0.09351,51.5156,0.00037521327766923,0.109873690624666
295,E09000002,Barking and Dagenham, ,547759,185107,0.129506,51.5455,0.00467819161608926,0.458290642051889
296,E09000003,Barnet, ,523472,191753,-0.21821,51.6111,0.0112649649456877,0.578050228402187
297,E09000004,Bexley, ,549202,175433,0.146212,51.4582,0.00783502234264279,0.509825964591697
298,E09000005,Brent, ,519615,186468,-0.27568,51.5644,0.00560267869966427,0.45638045162849
299,E09000006,Bromley, ,542036,165708,0.039246,51.3727,0.0193780960847023,0.858785714479997
300,E09000007,Camden, ,527492,184284,-0.16289,51.5431,0.00282590764529214,0.301077131782179
301,E09000008,Croydon, ,533922,164745,-0.07761,51.366,0.0111666885591105,0.666239432718991
302,E09000009,Ealing, ,517057,181960,-0.31407,51.5244,0.0071935450815674,0.580764793160972
303,E09000010,Enfield, ,532829,196197,-0.08147,51.6489,0.0106718523040943,0.497516225273471
304,E09000011,Greenwich, ,542508,175881,0.050108,51.464,0.00611955227443381,0.548189433017494
305,E09000012,Hackney, ,534560,185787,-0.06045,51.5549,0.0024694475883104,0.300074111621351
306,E09000013,Hammersmith and Fulham, ,523866,177998,-0.21736,51.4874,0.00212059926805029,0.265771144773839
307,E09000014,Haringey, ,531262,189349,-0.10667,51.5877,0.00383937459447001,0.350011448917013
308,E09000015,Harrow, ,515356,189736,-0.33603,51.5947,0.0065450122136743,0.397246296657315
309,E09000016,Havering, ,555032,187514,0.235368,51.5652,0.0145604516480827,0.734138451444793
310,E09000017,Hillingdon, ,508166,183120,-0.44182,51.5366,0.0149975966648009,0.717381108485814
311,E09000018,Hounslow, ,512744,174965,-0.37844,51.4624,0.00724129137100157,0.720192336090383
312,E09000019,Islington, ,531158,184647,-0.10992,51.5455,0.00192270125269567,0.235052248844743
313,E09000020,Kensington and Chelsea, ,525757,179053,-0.18976,51.4964,0.00157150692818722,0.241395945486491
314,E09000021,Kingston upon Thames, ,519508,167389,-0.28367,51.393,0.00481388051029247,0.404644671225164
315,E09000022,Lambeth, ,531118,175626,-0.11385,51.4644,0.00346542062678348,0.373229260849372
316,E09000023,Lewisham, ,537889,173344,-0.01733,51.4423,0.00454980744196907,0.47440505964591
317,E09000024,Merton, ,526069,169507,-0.18867,51.4106,0.00486162044842047,0.381967619601139
318,E09000025,Newham, ,540721,183327,0.027369,51.5313,0.00468870540665993,0.40229709256485
319,E09000026,Redbridge, ,543512,189478,0.070085,51.5859,0.00731544799070591,0.550043048160087
320,E09000027,Richmond upon Thames, ,519005,172648,-0.28914,51.4403,0.00741732331292973,0.788459171246144
321,E09000028,Southwark, ,533945,175863,-0.07309,51.4659,0.00373173430368311,0.379424661017122
322,E09000029,Sutton, ,527356,163640,-0.17227,51.3576,0.00565770201437875,0.456635931609486
323,E09000030,Tower Hamlets, ,536345,181451,-0.0364,51.5155,0.00256155777855085,0.322532271967966
324,E09000031,Waltham Forest, ,537327,190277,-0.01881,51.5946,0.00503549859026364,0.366498307575527
325,E09000032,Wandsworth, ,525152,174137,-0.20021,51.4524,0.00443093018191646,0.456190758200464
326,E09000033,Westminster, ,528268,180871,-0.15295,51.5122,0.00277872471491798,0.310956829686393
327,N09000001,Antrim and Newtownabbey, ,130813,541285,-6.1776,54.6939,0.101343128697919,2.02224094996188
328,N09000002,"Armagh City, Banbridge and Craigavon", ,112110,508158,-6.43455,54.3867,0.198321859562185,2.95720884698226
329,N09000003,Belfast, ,146465,529747,-5.92535,54.5985,0.0191203258046781,0.798628472039173
330,N09000004,Causeway Coast and Glens, ,106168,581420,-6.5996,55.0396,0.278681144561326,4.46190027038314
331,N09000005,Derry City and Strabane, ,51779,559566,-7.42064,54.809,0.174429382867769,3.31232271385777
332,N09000006,Fermanagh and Omagh, ,41233,513013,-7.5271,54.3852,0.41600053921696,5.2153661693926
333,N09000007,Lisburn and Castlereagh, ,138712,518920,-6.03545,54.4975,0.0707073758320414,2.03801183323514
334,N09000008,Mid and East Antrim, ,133943,560151,-6.14645,54.8646,0.148346090110972,2.79948491661391
335,N09000009,Mid Ulster, ,83920,528564,-6.8889,54.5527,0.271703564661281,3.77402979394679
336,N09000010,"Newry, Mourne and Down", ,133006,480432,-6.08891,54.1495,0.231530505610286,4.40268971406548
337,N09000011,Ards and North Down, ,164321,524944,-5.64568,54.5641,0.07834527638693,2.03374923668953
338,S12000005,Clackmannanshire, ,291159,696335,-3.75344,56.1472,0.022979378502019,1.20017907799396
339,S12000006,Dumfries and Galloway, ,270645,579857,-4.02863,55.0962,0.905462541905353,13.0243537816563
340,S12000008,East Ayrshire, ,255398,624935,-4.29057,55.4967,0.180487508749724,4.14737049048205
341,S12000010,East Lothian, ,354854,672351,-2.72435,55.9421,0.0976702871864,2.50775446130416
342,S12000011,East Renfrewshire, ,251929,653115,-4.3606,55.7487,0.0249248127438311,1.17528365505446
343,S12000013,Na h-Eileanan Siar, ,126473,932862,-6.65722,58.1994,0.468576120257473,46.1314367293601
344,S12000014,Falkirk, ,289661,679536,-3.7706,55.996,0.0428017621044973,1.88081135134354
345,S12000015,Fife, ,339197,704726,-2.98235,56.2312,0.191954919801841,4.35933536049213
346,S12000017,Highland, ,241026,858306,-4.66091,57.5867,3.9258132835011,62.8131846560558
347,S12000018,Inverclyde, ,227922,670899,-4.75387,55.9003,0.0232456462746585,1.00830955544714
348,S12000019,Midlothian, ,330088,659217,-3.11738,55.8211,0.0509397806689086,1.59553674479082
349,S12000020,Moray, ,328024,843593,-3.20187,57.4768,0.335028804904839,5.65854365404542
350,S12000021,North Ayrshire, ,228984,651640,-4.72479,55.7279,0.126295442850656,4.0874610820672
351,S12000023,Orkney Islands, ,348291,1006584,-2.90028,58.9433,0.158546905151314,14.8104878066607
352,S12000024,Perth and Kinross, ,284304,744186,-3.8848,56.5753,0.786586347728494,8.04401444509281
353,S12000026,Scottish Borders, ,345891,626135,-2.85866,55.5259,0.675173632405435,6.29194853978387
354,S12000027,Shetland Islands, ,434516,1180307,-1.37344,60.505,0.239073651257093,27.8183257239086
355,S12000028,South Ayrshire, ,226544,596270,-4.72901,55.2301,0.172928844857062,3.86961854172461
356,S12000029,South Lanarkshire, ,284634,636071,-3.83272,55.6045,0.25289207199583,3.53864678549816
357,S12000030,Stirling, ,255980,708769,-4.32595,56.2495,0.326421335149475,4.29346773442182
358,S12000033,Aberdeen City, ,387763,808478,-2.20398,57.167,0.0275672541356828,1.59061984878655
359,S12000034,Aberdeenshire, ,352286,816276,-2.79205,57.2347,0.940035071629918,9.81603146566492
360,S12000035,Argyll and Bute, ,200740,715442,-5.22114,56.2894,1.01116898527571,42.8750694224564
361,S12000036,City of Edinburgh, ,320193,669416,-3.27826,55.9112,0.0378497804335575,1.39258617187281
362,S12000038,Renfrewshire, ,239305,664698,-4.56834,55.8486,0.0374839256761888,1.66215584758777
363,S12000039,West Dunbartonshire, ,242904,681587,-4.52074,56.0014,0.0255066767617336,1.2371198170633
364,S12000040,West Lothian, ,299483,668514,-3.60909,55.8992,0.0615621870412169,1.73416192332531
365,S12000041,Angus, ,345518,759594,-2.89189,56.7248,0.320672653150095,4.06969526659346
366,S12000042,Dundee City, ,340291,732145,-2.97095,56.4776,0.00872695757979737,0.64617783039707
367,S12000044,North Lanarkshire, ,277984,665608,-3.9514,55.8681,0.067772247950898,2.11983234467736
368,S12000045,East Dunbartonshire, ,261240,676154,-4.22417,55.9583,0.0250884847552293,1.26246508900198
369,S12000046,Glasgow City, ,261534,667033,-4.21479,55.8765,0.0250601072499211,1.74029146459182
370,W06000001,Isle of Anglesey,Ynys Môn,245222,378346,-4.32291,53.2794,0.0962527194740215,4.08125156316596
371,W06000002,Gwynedd,Gwynedd,277968,334967,-3.81559,52.8983,0.340247050872713,6.79163904133391
372,W06000003,Conwy,Conwy,283293,362562,-3.74646,53.1474,0.151787201636099,3.29205866517175
373,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.34761,53.0883,0.112499648153627,2.76192869433382
374,W06000005,Flintshire,Sir y Fflint,321564,369303,-3.17605,53.215,0.0588580616721031,2.42124304966269
375,W06000006,Wrexham,Wrecsam,333523,345387,-2.99203,53.0017,0.0674255893594381,2.28733246510008
376,W06000008,Ceredigion,Ceredigion,267126,268437,-3.94994,52.298,0.235440832604048,4.22247125132764
377,W06000009,Pembrokeshire,Sir Benfro,199821,221391,-4.90818,51.8551,0.211043030522689,7.96484813627217
378,W06000010,Carmarthenshire,Sir Gaerfyrddin,247954,224133,-4.2111,51.895,0.309628497879307,6.46019158900683
379,W06000011,Swansea,Abertawe,264022,197308,-3.96723,51.6581,0.0492890989214134,3.04016737001849
